"N_etrs89" "E_etrs89" "FE300ME" "BOTTOMCLS" "DIS_SAND" "ICELAST09" "RIVERS" "SAL910WIN" "DIST20M" "CHL_A" "TEMP09M" "SALT09M"
4632492 4875736 7443 1 17 16 12053 3.5246 152308 36.31 4.06370474584401 2.79378563707525
4632150 4876171 7378 5 17 16 12002 3.5246 148793 36.4 4.01650762488417 2.7808950319664
4633801 4875794 30121 1 17 16 14062 3.5348 160970 36.31 4.01228661767461 2.77937772057273
4637652 4878980 7631 5 15 16 18521 3.5348 71396 36.31 3.96088995500224 2.71972830198026
4637717 4878414 7537 1 15 16 18458 3.5348 91882 36.31 4.02286596757913 2.72448949550578
4638320 4879176 3290 1 14 16 18515 3.5348 79882 36.31 3.96235788527845 2.71703556837604
4638232 4879295 3290 5 15 16 18515 3.5348 79882 36.31 3.96235788527845 2.71703556837604
4638847 4879480 7950 1 15 16 18128 3.5348 82970 36.31 3.96235788527845 2.71703556837604
4638906 4880438 16612 4 15 16 16866 3.5348 50485 36.47 3.85522673486481 2.72587876859844
4641060 4873400 5465 3 18 18 9822 3.4898 249587 35.97 4.02550905912429 2.50207268588789
4641175 4873568 178 3 18 18 9472 3.4898 235102 35.97 3.98061912106717 2.53889252027889
4641889 4873385 5071 4 18 18 8351 3.4898 227646 35.97 3.89141751581149 2.59022657525198
4638997 4875494 1125 3 17 18 12021 3.4898 280617 35.97 4.02550905912429 2.50207268588789
4639117 4875123 6600 4 17 18 11709 3.4898 285587 35.97 4.02550905912429 2.50207268588789
4301813 4715791 27150 1 41 7 11427 5.9038 22970 37.08 5.90279895002909 4.84292609613645
4301704 4715733 27150 5 41 7 11427 5.9038 22970 37.08 5.90279895002909 4.84292609613645
4309395 4710829 1875 4 45 7 10106 5.8861 8485 36.61 6.46085465864646 4.6007477377628
4315630 4711081 6571 1 44 7 14204 5.8861 48000 35.48 5.73542887398467 4.58948230734698
4309345 4710647 1987 4 44 7 9956 5.8861 8485 36.61 6.46085465864646 4.6007477377628
4308742 4708348 1256 4 47 15 10422 5.8705 60000 36.87 5.84149148021716 4.87194250697147
4315640 4711084 6571 1 44 7 14204 5.8861 48000 35.48 5.73542887398467 4.58948230734698
4307410 4711970 6750 1 42 15 8230 5.8861 6000 36.61 6.27737971827418 4.77921683240766
4606556 4975161 3112 1 11 18 19387 3.9841 125823 42.39 4.78516583767545 3.18955082615677
4605685 4974799 26053 4 10 18 18513 3.9841 118793 42.57 4.78750745999394 3.19023940167575
4606678 4974493 42506 4 10 18 19086 3.9841 99338 42.39 4.74775330350577 3.19593746474589
4603918 4975559 25275 1 11 18 17726 3.9841 183764 42.57 4.89860719702379 3.17232120756766
4603330 4974771 10209 5 12 18 16578 3.9841 185823 42.57 4.89666158346331 3.17502090736417
4603181 4974579 10209 5 12 18 16366 3.9841 186676 42.9 4.90745570584133 3.17176116074842
4602892 4974929 346 1 12 18 16541 3.9841 195161 42.97 5.00523268806765 3.13811194911481
4602494 4975324 11746 1 13 18 16805 3.9841 218132 42.97 5.00523268806765 3.13811194911481
4616167 4974174 496 1 5 18 10275 3.9186 126426 41.35 4.870942195878 3.14844056151719
4616295 4974163 37050 1 5 18 10293 3.9186 128911 41.35 4.870942195878 3.14844056151719
4616973 4973808 35906 4 6 18 10679 3.9186 105941 41.35 4.870942195878 3.14844056151719
4615942 4975760 32521 1 5 17 8294 3.9186 151455 41.23 4.88174559590472 3.13767271455053
4616176 4975656 27600 4 4 17 8718 3.9186 134485 41.23 4.88174559590472 3.13767271455053
